Type,DN,OuterDiameter,WallThickness,Radius,Length
Reducer Concentric,"26,9/17,2","26,9/17,2","1,6/1,6",,38
Reducer Concentric,"26,9/21,3","26,9/21,3","1,6/1,6",,38
Reducer Concentric,"33,7/17,2","33,7/17,2","2/1,6",,51
Reducer Concentric,"33,7/21,3","33,7/21,3","2/1,6",,51
Reducer Concentric,"33,7/26,9","33,7/26,9","2/1,6",,51
Reducer Concentric,"42,4/21,3","42,4/21,3","2/1,6",,51
Reducer Concentric,"42,4/26,9","42,4/26,9","2/1,6",,51
Reducer Concentric,"42,4/33,7","42,4/33,7",2/2,,51
Reducer Concentric,"48,3/21,3","48,3/21,3","2/1,6",,64
Reducer Concentric,"48,3/26,9","48,3/26,9","2/1,6",,64
Reducer Concentric,"48,3/33,7","48,3/33,7",2/2,,64
Reducer Concentric,"48,3/42,4","48,3/42,4",2/2,,64
Reducer Concentric,"60,3/26,9","60,3/26,9","2/1,6",,76
Reducer Concentric,"60,3/33,7","60,3/33,7",2/2,,76
Reducer Concentric,"60,3/42,4","60,3/42,4",2/2,,76
Reducer Concentric,"60,3/48,3","60,3/48,3",2/2,,76
Reducer Concentric,"76,1/33,7","76,1/33,7","2,3/2",,89
Reducer Concentric,"76,1/42,4","76,1/42,4","2,3/2",,89
Reducer Concentric,"76,1/48,3","76,1/48,3","2,3/2",,89
Reducer Concentric,"76,1/60,3","76,1/60,3","2,3/2",,89
Reducer Concentric,"88,9/33,7","88,9/33,7","2,3/2",,89
Reducer Concentric,"88,9/42,4","88,9/42,4","2,3/2",,89
Reducer Concentric,"88,9/48,3","88,9/48,3","2,3/2",,89
Reducer Concentric,"88,9/60,3","88,9/60,3","2,3/2",,89
Reducer Concentric,"88,9/76,1","88,9/76,1","2,3/2,3",,89
Flange R-158-10,10,"17,2","1,6",,9
Flange R-157,15,"21,3",2,,6
Flange R-158-10,15,"21,3","1,6",,9
Flange R-157,20,"26,9",2,,7
Flange R-158-10,20,"26,9","1,6",,12
Flange R-157,40,"48,3",2,,10
Flange R-158-10,25,"33,7",2,,15
Flange R-157,50,"60,3",2,,11
Flange R-158-10,32,"42,4",2,,15
Flange R-158-10,40,"48,3",2,,17
Flange R-158-10,50,"60,3",2,,23
Flange R-158-10,65,"76,1","2,3",,23
Flange R-158-10,80,"88,9","2,3",,23
Flange R-158-10,100,"114,3","2,6",,28
Flange R-158-10,125,"139,7","2,6",,30
Flange R-158-10,150,"168,3","2,6",,30
Flange R-158-10,200,"219,1","2,9",,30
Flange R-158-10,250,"273,0","2,9",,30
Flange R-158-10,300,"323,9","3,2",,35
